Date	PD Code	Area Code	AC Code MH	Project Nr	Item Description	Amount
03/02/2024	20G1010	20	3	1455	24 Islamabad - Rubbish Removal	13140.00
03/02/2024	60C2011		1455	25 Islamabad - Contractor	12900.00
03/02/2024	60B2050		1455	26 Islamabad - Contractor	9500.00
03/02/2024	60C2011		1455	27 Islamabad - Sand Cement	11300.00
03/02/2024	60C2011		1455	28 Islamabad - Delivery	500.00
03/02/2024	60C2011		1455	29 Islamabad - Blocks	14700.00
03/02/2024	60B2050		1455	30 Islamabad - Waterproofing	3210.00
03/02/2024	60C2011		1455	31 Islamabad - Sand Delivery	4000.00
03/02/2024	60C2011		1455	32 Islamabad - Cement tone	2350.00
03/02/2024	60C2011		1455	33 Islamabad - Cement Blocks	2025.00
03/02/2023	60C1092		1455	34 Islamabad - Plumbing Parts	23500.00
03/02/2024	60C1092		1455	35 Islamabad - Plumbing Parts	7060.00
03/02/2024	60C2011		1455	36 Islamabad - Sand Cement Screed	41750.00
03/02/2024	60C1092		1273	37 Sialkot - Labour	12900.00
03/02/2024	60C1092		1273	38 Sialkot - Pipe	200.00
03/02/2024	60C1092		1273	39 Sialkot - Plumbing Part	800.00
03/02/2024	60C1092		1273	40 Sialkot - Labour	12400.00
03/02/2024	10S1240	10	1	1273	41 Sialkot - Moving to next Job Tools equip	7620.00
03/02/2024	60C1090		1273	43 Sialkot - Literature counter Approved RL	70000.00
20/03/2023	10S1430	10	1	1562	7 - Korangi sp - Timber	10800.00
28/02/2023	10S1430	10	1	1562	8 -Korangi Sp - Cement	7100.00
02/03/2024	30C1092		1562	9 -Korangi SP - Sanitary wear	16950.00
01/03/2024	10S1410	10	1	1562	10- Korangi SP - tools	2900.00
02/03/2024	10S1430	10	1	1562	11 -Korangi SP Wire	690.00
02/03/2024	30C2032		1562	12- Korangi Marble cutting	4500.00
02/03/2024	20G1010	20	3	1562	13 -Korangi SP Concreate blocks	4000.00
02/03/2024	20G1010	20	3	1562	14- Korangi SP Cement	8600.00
21/02/2024	20G1010	20	3	1562	15- Korangi SP Tile set	2200.00
21/02/2024	20G1010	20	3	1562	16-Korangi SP  Cement	600.00
22/02/2024	20G1010	20	3	1562	17 -Korangi SP Tile set	2695.00
